# $Id: optab-x86.dat,v 1.1.1.1 2004/04/26 00:40:21 pa33 Exp $
#
# File format:
# <Instruction> <Operands> <Opcodes> [flag]
#
# NOTE: The accompanying script "optab.pl" requires the instruction
#       names to be in alphabetical order.
#
# Possible values of the [flag] are as follows:
#
#  0 - 7   : column of modR/M table to use
#  r       : can use any column
#  c       : register code (Table 3.1 in Instruction Set Reference)
#  f       : FPU stack register code
#
# The nomenclature of this file deviates from Intel's Instruction
# Set Reference in the following ways:
#
# Intel                                 Me
# /r                                    "r" in [flag] column
# /digit                                "digit" in [flag] column
# +rb/+rw/+rd                           "c" in [flag] column
# +i                                    "f" in [flag] column
# cr0                                   r(cr0)
# cr2                                   r(cr2)
# cr3                                   r(cr3)
# cr4                                   r(cr4)
# ib                                    imm8
# iw                                    imm16
# id                                    imm32
# m16&16                                mem16
# m16&32                                mem32
# m32&32                                mem32
# m8                                    mem8
# m16                                   mem16
# m32                                   mem32
# m64                                   mem64
# m80                                   mem80
# m16:16                                rm16
# m16:32                                rm32
# mm                                    mmxreg
# mm1                                   mmxreg
# mm/m64                                mem64
# moffs{8,16,32}                        moffs
# ptr16:16                              ptr16:16
# ptr16:32                              ptr16:32
# Sreg                                  segreg
# st(0)                                 r(st0)
# st(i)                                 fpureg
# xmm                                   xmmreg
# xmm1                                  xmmreg
# xmm?/m*                               mem128
# r32 (using rm field)                  reg32_rm
#
# no operands                           void
# no operands/32 bit addressing         void32
# numerical constant (ie: 1)            const<number>
#
# For opcodes which require specific registers (ie: al,ax etc)
# I will use the syntax: r##(register). Where ## is an optional
# size of the register. So, for al, it would be: r8(al)
#
# The rest of the nomenclature of this file is mostly identical to
# that of intel.

AAA       void                37

AAD       void                D5,0A
AAD       imm8                D5

AAM       void                D4,0A
AAM       imm8                D4

AAS       void                3F

ADC       r8(al),imm8         14
ADC       r16(ax),imm16       15
ADC       r32(eax),imm32      15
RSM        void               0F,AA

RSQRTPS    xmmreg,mem128      0F,52              r

RSQRTSS    xmmreg,mem128      F3,0F,52           r

SAHF       void               9E

#SAL        rm8,const1         D0                 4
#SAL        rm8,r(cl)          D2                 4
#SAL        rm8,imm8           C0                 4
#SAL        rm16,const1        D1                 4
#SAL        rm16,r(cl)         D3                 4
#SAL        rm16,imm8          C1                 4
#SAL        rm32,const1        D1                 4
#SAL        rm32,r(cl)         D3                 4
#SAL        rm32,imm8          C1                 4

SAR        rm8,const1         D0                 7
SAR        rm8,r(cl)          D2                 7
SAR        rm8,imm8           C0                 7
SAR        rm16,const1        D1                 7
SAR        rm16,r(cl)         D3                 7
SAR        rm16,imm8          C1                 7
SAR        rm32,const1        D1                 7
SAR        rm32,r(cl)         D3                 7
SAR        rm32,imm8          C1                 7

SBB        r(al),imm8         1C
SBB        r(ax),imm16        1D
SBB        r(eax),imm32       1D
SBB        rm8,imm8           80                 3
SBB        rm16,imm16         81                 3
SBB        rm32,imm32         81                 3
SBB        rm16,imm8          83                 3
SBB        rm32,imm8          83                 3
SBB        rm8,reg8           18                 r
SBB        rm16,reg16         19                 r
SBB        rm32,reg32         19                 r
SBB        reg8,rm8           1A                 r
SBB        reg16,rm16         1B                 r
SBB        reg32,rm32         1B                 r

SCASB      void               AE
SCASD      void32             AF
SCASW      void               AF

SETA       rm8                0F,97              r
SETC       rm8                0F,92              r
SETE       rm8                0F,94              r
SETG       rm8                0F,9F              r
SETL       rm8                0F,9C              r
SETNA      rm8                0F,96              r
SETNC      rm8                0F,93              r
SETNE      rm8                0F,95              r
SETNG      rm8                0F,9E              r
SETNL      rm8                0F,9D              r
SETNO      rm8                0F,91              r
SETNP      rm8                0F,9B              r
SETNS      rm8                0F,99              r
SETO       rm8                0F,90              r
SETP       rm8                0F,9A              r
SETS       rm8                0F,98              r

SFENCE     rm16               0F,AE              7

SGDT       mem                0F,01              0

SHL        rm8,const1         D0                 4
SHL        rm8,r(cl)          D2                 4
SHL        rm8,imm8           C0                 4
SHL        rm16,const1        D1                 4
SHL        rm16,r(cl)         D3                 4
SHL        rm16,imm8          C1                 4
SHL        rm32,const1        D1                 4
SHL        rm32,r(cl)         D3                 4
SHL        rm32,imm8          C1                 4

SHLD       rm16,reg16,imm8    0F,A4              r
SHLD       rm16,reg16,r(cl)   0F,A5              r
SHLD       rm32,reg32,imm8    0F,A4              r
SHLD       rm32,reg32,r(cl)   0F,A5              r

SHR        rm8,const1         D0                 5
SHR        rm8,r(cl)          D2                 5
SHR        rm8,imm8           C0                 5
SHR        rm16,const1        D1                 5
SHR        rm16,r(cl)         D3                 5
SHR        rm16,imm8          C1                 5
SHR        rm32,const1        D1                 5
SHR        rm32,r(cl)         D3                 5
SHR        rm32,imm8          C1                 5

SHRD       rm16,reg16,imm8    0F,AC              r
SHRD       rm16,reg16,r(cl)   0F,AD              r
SHRD       rm32,reg32,imm8    0F,AC              r
SHRD       rm32,reg32,r(cl)   0F,AD              r

SHUFPS     xmmreg,mem128,imm8 0F,C6              r

SIDT       mem                0F,01              1

SLDT       rm16               0F,00              0
SLDT       rm32               0F,00              0

SMSW       rm16               0F,01              4
SMSW       mem32              0F,01              4

SQRTPS     xmmreg,mem128      0F,51              r

SQRTSS     xmmreg,mem128      F3,0F,51           r

STC        void               F9

STD        void               FD

STI        void               FB

STMXCSR    mem32              0F,AE              3

STOSB      void               AA
STOSD      void32             AB
STOSW      void               AB

STR        rm16               0F,00              1

SUB        r(al),imm8         2C
SUB        r(ax),imm16        2D
SUB        r(eax),imm32       2D
SUB        rm8,imm8           80                 5
SUB        rm16,imm16         81                 5
SUB        rm32,imm32         81                 5
SUB        rm16,imm8          83                 5
SUB        rm32,imm8          83                 5
SUB        rm8,reg8           28                 r
SUB        rm16,reg16         29                 r
SUB        rm32,reg32         29                 r
SUB        reg8,rm8           2A                 r
SUB        reg16,rm16         2B                 r
SUB        reg32,rm32         2B                 r

SUBPS      xmmreg,mem128      0F,5C              r

SUBSS      xmmreg,mem128      F3,0F,5C           r

SYSENTER   void               0F,34

SYSEXIT    void               0F,35

TEST       r(al),imm8         A8
TEST       r(ax),imm16        A9
TEST       r(eax),imm32       A9
TEST       rm8,imm8           F6                 0
TEST       rm16,imm16         F7                 0
TEST       rm32,imm32         F7                 0
TEST       rm8,reg8           84                 r
TEST       rm16,reg16         85                 r
TEST       rm32,reg32         85                 r

UCOMISS    xmmreg,mem128      0F,2E              r

UD2        void               0F,0B

UNPCKHPS   xmmreg,mem128      0F,15              r

UNPCKLPS   xmmreg,mem128      0F,14              r

VERR       rm16               0F,00              4
VERW       rm16               0F,00              5

WAIT       void               9B

WBINVD     void               0F,09

WRMSR      void               0F,30

XADD       rm8,reg8           0F,C0              r
XADD       rm16,reg16         0F,C1              r
XADD       rm32,reg32         0F,C1              r

XCHG       r(ax),reg16        90                 c
XCHG       r(eax),reg32       90                 c
XCHG       reg8,rm8           86                 r
XCHG       reg16,rm16         87                 r
XCHG       reg32,rm32         87                 r

XLATB      void               D7

XOR        r(al),imm8         34
XOR        r(ax),imm16        35
XOR        r(eax),imm32       35
XOR        rm8,imm8           80                 6
XOR        rm16,imm16         81                 6
XOR        rm32,imm32         81                 6
XOR        rm16,imm8          83                 6
XOR        rm32,imm8          83                 6
XOR        rm8,reg8           30                 r
XOR        rm16,reg16         31                 r
XOR        rm32,reg32         31                 r
XOR        reg8,rm8           32                 r
XOR        reg16,rm16         33                 r
XOR        reg32,rm32         33                 r

XORPS      xmmreg,mem128      0F,57              r
